Model Parameters: a, b, 1/eps, Lx, Ly, Dv = 0.84, 0.07, 12.5, 80, 80, 0
Numerical Parameters: NX, NY, ts, delta = 241, 241, 0.5, 0.0001 
File written: Tue Sep 26 23:51:22 2023
Comments: 2D 





Ascii values of u and v follow
0.94598 0.70386
0.95573 0.656698
0.957551 0.598289
0.951876 0.527119
0.937071 0.441723
0.908097 0.341746
0.854384 0.230779
0.758368 0.122584
0.603512 0.0459688
0.405836 0.0232799
0.228378 0.027545
0.112633 0.0337412
0.0512859 0.0413627
0.0223294 0.0503364
0.00950143 0.0603356
0.00406574 0.0702535
0.00193248 0.0779981
0.00139342 0.0816876
0.00198817 0.0807071
0.00416786 0.0753339
0.00959362 0.0668058
0.022196 0.0572111
0.0502978 0.0481585
0.109382 0.0402378
0.220831 0.033536
0.393624 0.0283274
0.591018 0.0454172
0.750373 0.111877
0.851321 0.20981
0.908375 0.312484
0.93914 0.406396
0.954494 0.487783
0.959363 0.556758
0.954581 0.614488
0.937951 0.662008
0.904892 0.699434
0.849608 0.725134
0.767888 0.735345
0.661492 0.725697
0.540897 0.695376
0.421845 0.650701
0.317602 0.603227
0.234442 0.562181
0.172691 0.52837
0.129238 0.501069
0.0999143 0.479722
0.0810058 0.46392
0.0697914 0.453377
0.0645757 0.447934
0.0645758 0.447547
0.0698441 0.452282
0.0812892 0.462324
0.1008 0.47799
0.131407 0.499766
0.177278 0.528323
0.243119 0.564576
0.332404 0.60968
0.444572 0.661819
0.571794 0.708995
0.697956 0.738243
0.805262 0.744581
0.883942 0.732294
0.934825 0.710087
0.964557 0.686874
0.980303 0.66935
0.987065 0.660258
0.986766 0.659725
0.97753 0.667765
0.952075 0.684265
0.896077 0.705345
0.79243 0.716764
0.640108 0.693976
0.47046 0.623756
0.322389 0.528129
0.21159 0.442236
0.136128 0.372066
0.0874475 0.314961
0.0568241 0.2681
0.037732 0.229226
0.0259457 0.196745
0.0190173 0.169506
0.0158282 0.146609
0.0164242 0.127319
0.0222013 0.111027
0.0365139 0.0972304
0.0657248 0.0855121
0.120236 0.0755299
0.213233 0.0670036
0.351838 0.0597111
0.519767 0.0622379
0.676257 0.0964876
0.79226 0.159295
0.866853 0.232401
0.911681 0.301932
0.937927 0.361981
0.953118 0.41122
0.961809 0.450141
0.966735 0.479776
0.969595 0.501229
0.971487 0.515539
0.973102 0.52366
0.974824 0.526494
0.976788 0.524929
0.978946 0.519891
0.981148 0.51237
0.983216 0.503423
0.985004 0.494143
0.98642 0.485594
0.987428 0.478723
0.988025 0.474281
0.988222 0.472745
0.000175736 0.149384
0.000190202 0.145178
0.000237447 0.133341
0.000331767 0.116845
0.000509361 0.0996116
0.000858954 0.0839194
0.00159456 0.0703349
0.00322128 0.058836
0.00690472 0.0492782
0.0152664 0.0414319
0.0339738 0.0349842
0.0743544 0.0296225
0.155322 0.0251141
0.296089 0.021304
0.48757 0.0230737
0.672737 0.0643397
0.804005 0.150928
0.881897 0.256047
0.924893 0.358611
0.947642 0.450341
0.957817 0.529578
0.957636 0.596905
0.944822 0.653237
0.912744 0.698624
0.851389 0.730647
0.752304 0.742797
0.618612 0.726661
0.470526 0.681315
0.334073 0.620807
0.225108 0.564663
0.146818 0.517209
0.0944733 0.477312
0.0608556 0.444045
0.0396187 0.416633
0.0262113 0.394424
0.0176671 0.37684
0.0121382 0.363327
0.00849427 0.353299
0.00604742 0.346037
0.0043774 0.340592
0.00322471 0.335734
0.00242619 0.33
0.00187677 0.321949
0.0015075 0.310408
0.00127344 0.294641
0.00114747 0.274504
0.00111789 0.250788
0.0011893 0.22533
0.00138667 0.200288
0.00176222 0.177156
0.00240451 0.156558
0.00344922 0.138643
0.00509057 0.123448
0.00759202 0.111054
0.0112944 0.101624
0.0166203 0.0954157
0.0240749 0.0928504
0.0342491 0.0944683
0.0478351 0.100979
0.0656695 0.1131
0.0888055 0.131413
0.118572 0.156528
0.156558 0.189492
0.204515 0.232261
0.26426 0.288215
0.337868 0.362243
0.428292 0.454111
0.537371 0.542308
0.656602 0.597315
0.763694 0.600806
0.836719 0.555437
0.868461 0.473909
0.860952 0.367195
0.812227 0.246668
0.710582 0.13461
0.546816 0.0673213
0.350953 0.0591588
0.189482 0.0685933
0.090701 0.0788682
0.0404623 0.0899429
0.0173953 0.101792
0.00738694 0.114384
0.00319012 0.127665
0.00146783 0.141508
0.000767755 0.15564
0.000480702 0.169478
0.000359172 0.18193
